"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1194,1134,1254,915,851,962,1117,1065,1150,1256,1230,1316,3601,668,127
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1194,1143,1244,962,927,995,1187,1094,1222,1374,1323,1435,3373,664,168
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1326,1266,1386,1046,996,1072,1259,1150,1325,1500,1450,1610,6856,1234,178
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1383,1341,1424,1123,1076,1185,1343,1280,1400,1590,1541,1668,6413,1174,238
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1731,1668,1793,1272,1235,1378,1591,1537,1657,1988,1880,2149,4327,706,179
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1788,1731,1845,1382,1315,1436,1672,1621,1715,2083,1971,2142,4052,680,238
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",16.14,16,16.27,13.07,12.97,13.2,15.34,15.15,15.56,18.11,17.87,18.39,11106,7152,504
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",17.22,17.07,17.37,14.04,13.87,14.2,16.54,16.32,16.7,19.58,19.39,19.71,11437,7430,461
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",14.14,14.04,14.25,11.69,11.6,11.79,13.48,13.38,13.59,15.97,15.81,16.11,22955,14593,605
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",15.07,14.98,15.15,12.58,12.47,12.68,14.53,14.44,14.62,16.94,16.82,17.07,23071,15107,620
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",13.98,13.89,14.07,11.83,11.74,11.96,13.72,13.63,13.82,15.67,15.53,15.79,14925,9246,604
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",14.99,14.88,15.09,12.69,12.58,12.81,14.52,14.45,14.62,16.83,16.67,17,14957,9478,580
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",14.54,14.48,14.61,12,11.96,12.06,13.93,13.84,13.99,16.36,16.29,16.48,48986,30991,1713
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"netto",15.54,15.47,15.61,12.89,12.83,12.95,14.88,14.8,14.95,17.48,17.37,17.6,49465,32015,1661
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",27.59,27.28,27.91,21.82,21.48,22.22,26.39,26.09,26.7,32.06,31.51,32.77,35586,6336,1210
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",29.48,29.25,29.72,23.07,22.82,23.38,28.45,28.13,28.75,34.42,33.88,34.85,35728,7237,1786
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",23.94,23.66,24.22,19.11,18.67,19.36,22.89,22.57,23.17,27.8,27.45,28.25,51225,8700,1260
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",25.79,25.56,26.02,20.21,20,20.61,25,24.76,25.36,30,29.69,30.49,50539,9132,1836
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"netto",22.66,22.37,22.95,17.79,17.46,18.05,21.46,21.1,21.92,26.61,26.09,27.25,25972,4545,1053
