StichtagDatJahr,StichtagDatMonat,RaumeinheitSort,RaumeinheitLang,GliederungSort,GliederungLang,ZimmerSort,ZimmerLang,GemeinnuetzigSort,GemeinnuetzigLang,EinheitSort,EinheitLang,PreisartSort,PreisartLang,mean,meanl,meanu,qu25,qu25l,qu25u,qu50,qu50l,qu50u,qu75,qu75l,qu75u,Domain,Sample1,Sample2
2024,2024.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,970.0,956.0,985.0,812.0,798.0,819.0,955.0,941.0,976.0,1104.0,1070.0,1124.0,4410,2864,117
2022,2022.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1141.0,1124.0,1158.0,919.0,893.0,960.0,1120.0,1100.0,1136.0,1295.0,1267.0,1336.0,2849,1700,155
2024,2024.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1240.0,1214.0,1266.0,998.0,977.0,1042.0,1205.0,1186.0,1221.0,1419.0,1398.0,1450.0,2807,1740,128
2022,2022.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1194.0,1134.0,1254.0,915.0,851.0,962.0,1117.0,1065.0,1150.0,1256.0,1230.0,1316.0,3601,668,127
2024,2024.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1194.0,1143.0,1244.0,962.0,927.0,995.0,1187.0,1094.0,1222.0,1374.0,1323.0,1435.0,3373,664,168
2022,2022.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1326.0,1266.0,1386.0,1046.0,996.0,1072.0,1259.0,1150.0,1325.0,1500.0,1450.0,1610.0,6856,1234,178
2024,2024.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1383.0,1341.0,1424.0,1123.0,1076.0,1185.0,1343.0,1280.0,1400.0,1590.0,1541.0,1668.0,6413,1174,238
2022,2022.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1731.0,1668.0,1793.0,1272.0,1235.0,1378.0,1591.0,1537.0,1657.0,1988.0,1880.0,2149.0,4327,706,179
2024,2024.04,1,Ganze Stadt,5,Bestand Mietverträge über 20 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1788.0,1731.0,1845.0,1382.0,1315.0,1436.0,1672.0,1621.0,1715.0,2083.0,1971.0,2142.0,4052,680,238
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,2,2 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,16.14,16.0,16.27,13.07,12.97,13.2,15.34,15.15,15.56,18.11,17.87,18.39,11106,7152,504
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,2,2 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,17.22,17.07,17.37,14.04,13.87,14.2,16.54,16.32,16.7,19.58,19.39,19.71,11437,7430,461
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,3,3 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,14.14,14.04,14.25,11.69,11.6,11.79,13.48,13.38,13.59,15.97,15.81,16.11,22955,14593,605
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,3,3 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,15.07,14.98,15.15,12.58,12.47,12.68,14.53,14.44,14.62,16.94,16.82,17.07,23071,15107,620
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,4,4 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,13.98,13.89,14.07,11.83,11.74,11.96,13.72,13.63,13.82,15.67,15.53,15.79,14925,9246,604
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,4,4 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,14.99,14.88,15.09,12.69,12.58,12.81,14.52,14.45,14.62,16.83,16.67,17.0,14957,9478,580
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,9,"2 , 3  und 4 Zimmer",1,Gemeinnützig,2,Quadratmeter,1,netto,14.54,14.48,14.61,12.0,11.96,12.06,13.93,13.84,13.99,16.36,16.29,16.48,48986,30991,1713
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,9,"2 , 3  und 4 Zimmer",1,Gemeinnützig,2,Quadratmeter,1,netto,15.54,15.47,15.61,12.89,12.83,12.95,14.88,14.8,14.95,17.48,17.37,17.6,49465,32015,1661
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,2,2 Zimmer,2,Nicht gemeinnützig,2,Quadratmeter,1,netto,27.59,27.28,27.91,21.82,21.48,22.22,26.39,26.09,26.7,32.06,31.51,32.77,35586,6336,1210
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,2,2 Zimmer,2,Nicht gemeinnützig,2,Quadratmeter,1,netto,29.48,29.25,29.72,23.07,22.82,23.38,28.45,28.13,28.75,34.42,33.88,34.85,35728,7237,1786
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,3,3 Zimmer,2,Nicht gemeinnützig,2,Quadratmeter,1,netto,23.94,23.66,24.22,19.11,18.67,19.36,22.89,22.57,23.17,27.8,27.45,28.25,51225,8700,1260
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,3,3 Zimmer,2,Nicht gemeinnützig,2,Quadratmeter,1,netto,25.79,25.56,26.02,20.21,20.0,20.61,25.0,24.76,25.36,30.0,29.69,30.49,50539,9132,1836
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,4,4 Zimmer,2,Nicht gemeinnützig,2,Quadratmeter,1,netto,22.66,22.37,22.95,17.79,17.46,18.05,21.46,21.1,21.92,26.61,26.09,27.25,25972,4545,1053
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,4,4 Zimmer,2,Nicht gemeinnützig,2,Quadratmeter,1,netto,23.87,23.62,24.12,18.71,18.45,19.03,22.78,22.57,23.11,28.19,27.85,28.62,25502,4670,1514
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,9,"2 , 3  und 4 Zimmer",2,Nicht gemeinnützig,2,Quadratmeter,1,netto,24.8,24.62,24.97,19.4,19.25,19.6,23.58,23.37,23.78,28.98,28.64,29.29,112783,19581,3523
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,9,"2 , 3  und 4 Zimmer",2,Nicht gemeinnützig,2,Quadratmeter,1,netto,26.53,26.39,26.67,20.57,20.34,20.76,25.53,25.34,25.69,31.31,31.06,31.59,111769,21039,5136
2022,2022.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,2,2 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,19.4,18.73,20.07,16.89,14.9,17.43,18.78,18.45,19.6,21.29,20.38,22.0,420,280,24
2024,2024.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,2,2 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,20.53,19.85,21.21,18.66,17.93,18.72,19.64,19.5,21.64,21.86,21.5,23.76,372,159,13
2022,2022.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,3,3 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,16.41,15.64,17.18,13.59,13.18,15.8,16.09,15.79,16.48,17.17,16.89,17.88,607,360,13
2024,2024.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,3,3 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,19.07,18.59,19.54,17.32,17.09,17.86,18.78,18.66,19.81,20.14,19.9,21.49,446,234,15
2022,2022.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,4,4 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,15.8,15.14,16.45,13.07,12.6,13.69,15.35,14.99,15.67,16.76,16.37,17.34,532,304,12
2024,2024.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,4,4 Zimmer,1,Gemeinnützig,2,Quadratmeter,1,netto,18.07,17.61,18.54,15.69,15.08,16.7,17.7,17.26,18.66,19.93,19.69,21.46,372,234,4
2022,2022.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,9,"2 , 3  und 4 Zimmer",1,Gemeinnützig,2,Quadratmeter,1,netto,17.01,16.59,17.42,13.74,13.18,14.6,16.32,16.08,16.57,18.73,18.19,19.6,1559,944,49
2024,2024.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,9,"2 , 3  und 4 Zimmer",1,Gemeinnützig,2,Quadratmeter,1,netto,19.21,18.82,19.61,17.28,16.97,17.64,18.77,18.66,19.57,21.35,19.94,21.83,1190,627,32
